line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,General Information,0.0,General Information,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,Qualifiers,0.0,Qualifiers,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,Documentation,0.0,Documentation,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,Company Overview,0.0,Company Overview,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Safeguards,0.0,Safeguards,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"In sections where vendor input is required there are only one or two columns that need modification, Vendor Answers and Additional Information, columns C and D respectively (see Figure 1 below). You w",0.0,"In sections where vendor input is required there are only one or two columns that need modification, Vendor Answers and Additional Information, columns C and D respectively (see Figure 1 below). You will see that sometimes C and D are separate and other times are merged. If they are separate, C will be a selectable, drop-down box and any supporting information should be added to column D. If C and D are merged, the question is looking for the answer to be in narrative form. At the far right is a column titled “Guidance”. After answering questions, check this column to ensure you have submitted information/documentation to sufficiently answer the question. Use the “Additional Information” column to provide any requested details.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Figure 1:,0.0,Figure 1:,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Optional Safeguards Based on Qualifiers,0.0,Optional Safeguards Based on Qualifiers,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,Not all questions are relevant to all vendors. Qualifiers are used to make whole sections optional to vendors depending on the scope of product usage and the data involved in the engagement being asse,0.0,Not all questions are relevant to all vendors. Qualifiers are used to make whole sections optional to vendors depending on the scope of product usage and the data involved in the engagement being assessed. Sections that become optional have the section titles and questions highlighted in orange (see Figure 2).,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Figure 2:,0.0,Figure 2:,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Definitions and Data Zones,0.0,Definitions and Data Zones,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,SAWS Data Zone,0.0,SAWS Data Zone,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,Vendor Data Zone,0.0,Vendor Data Zone,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,"Customers from different regions may expect vary protections of data (e.g. GDPR), this is the Organization Data Zone. Vendors may handle data differently depending on the country or region where data ",0.0,"Customers from different regions may expect vary protections of data (e.g. GDPR), this is the Organization Data Zone. Vendors may handle data differently depending on the country or region where data is stored, this is the Vendor Data Zone.
As a vendor, if your security practices vary based on your region of operation, you may want to populate separate Assessments in the context for each security zone (strategy). That said, Organizations from different data zones may still use vendor responses from other state Data Zones. If your security practices are the same across all regions of operations, indicate ""All"" in your Vendor Data Zone.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,Data Reporting,0.0,Data Reporting,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,"To update data in the Report tabs, click Refresh All in the Menu tab. Input provided in the Assessment tab is assessed a preliminary score pending Security Analyst review.",0.0,"To update data in the Report tabs, click Refresh All in the Menu tab. Input provided in the Assessment tab is assessed a preliminary score pending Security Analyst review.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,"Proceed to the next tab, Assessment.",0.0,"Proceed to the next tab, Assessment.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,For SAWS Security Analysts,0.0,For SAWS Security Analysts,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,"Raw vendor answers can be viewed in the Assessment tab. To begin your assessment, review the Analyst Report tab, ensuring that you select the appropriate security standard used (cell B7) before you be",0.0,"Raw vendor answers can be viewed in the Assessment tab. To begin your assessment, review the Analyst Report tab, ensuring that you select the appropriate security standard used (cell B7) before you begin. Select compliance states for the outstanding non-compliant or short-answer questions in column G. Once all subjective questions are evaluated and compliance indicated, move to the Summary Report tab. To update the report's data, select Refresh All in the Data menu. Review details in the Summary Report and based on your assessment, follow-up with vendor for clarification(s) or add the Summary Report output to our reporting documents.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,Last Revised:,0.0,Last Revised:,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,HECVAT Version,0.0,HECVAT Version,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
