line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"Purchasing Department, (2) be fit and sufficient for the purpose expressed in the RFQ, (3) be merchantable, (4) be of",0.0,"Purchasing Department, (2) be fit and sufficient for the purpose expressed in the RFQ, (3) be merchantable, (4) be of",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"good materials and workmanship, and (5) be free from defect.",0.0,"good materials and workmanship, and (5) be free from defect.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,b) Such warranty shall survive delivery and shall not be deemed waived either by reason of the District’s,0.0,b) Such warranty shall survive delivery and shall not be deemed waived either by reason of the District’s,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"acceptance of or payment for said equipment, supplies, and/or services.",0.0,"acceptance of or payment for said equipment, supplies, and/or services.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,13 CONTRACTUAL REMEDIES,0.0,13 CONTRACTUAL REMEDIES,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"a) If the District in good faith has reason to believe that the Contractor does not intend to, or is unable to perform",0.0,"a) If the District in good faith has reason to believe that the Contractor does not intend to, or is unable to perform",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"or continue performing the Contract, the Procurement Officer may demand in writing that the Contractor give a",0.0,"or continue performing the Contract, the Procurement Officer may demand in writing that the Contractor give a",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,written assurance of intent or ability to perform. Failure by the Contractor to provide written assurance within the,0.0,written assurance of intent or ability to perform. Failure by the Contractor to provide written assurance within the,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"number of days specified in the demand may, at Districts’ option, be the basis for terminating the Contract under the",0.0,"number of days specified in the demand may, at Districts’ option, be the basis for terminating the Contract under the",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Uniform General Terms and Conditions.,0.0,Uniform General Terms and Conditions.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,b) Stop Work Order:,0.0,b) Stop Work Order:,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,"1) The District may, at any time, by written order to the Contractor, require the Contractor to stop all or any",0.0,"1) The District may, at any time, by written order to the Contractor, require the Contractor to stop all or any",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,"part, of the work called for by this Contract for a period of up to ninety (90) days after the order is delivered to the",0.0,"part, of the work called for by this Contract for a period of up to ninety (90) days after the order is delivered to the",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,"Contractor, and for any further period to which the parties may agree. The order shall be specifically identified as a",0.0,"Contractor, and for any further period to which the parties may agree. The order shall be specifically identified as a",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,"stop work order issued under this clause. Upon receipt of the order, the Contractor shall immediately comply with its",0.0,"stop work order issued under this clause. Upon receipt of the order, the Contractor shall immediately comply with its",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,terms and take all reasonable steps to minimize the incurrence of costs allocable to the work covered by the order,0.0,terms and take all reasonable steps to minimize the incurrence of costs allocable to the work covered by the order,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,during the period of work stoppage.,0.0,during the period of work stoppage.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,"2) If a stop work order issued under this clause is canceled or the period of the order or any extension expires,",0.0,"2) If a stop work order issued under this clause is canceled or the period of the order or any extension expires,",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,the Contractor shall resume work. The Procurement Officer shall make an equitable adjustment in the delivery,0.0,the Contractor shall resume work. The Procurement Officer shall make an equitable adjustment in the delivery,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,"schedule or Contract price, or both, and the Contract shall be amended in writing accordingly.",0.0,"schedule or Contract price, or both, and the Contract shall be amended in writing accordingly.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,c) The rights and the remedies of the District under this Contract are not exclusive.,0.0,c) The rights and the remedies of the District under this Contract are not exclusive.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,d) Materials supplied under this Contract shall fully comply with the Contract. The delivery of materials or a portion,0.0,d) Materials supplied under this Contract shall fully comply with the Contract. The delivery of materials or a portion,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,of the materials in an installment that do not fully comply constitutes a breach of Contract. On delivery of,0.0,of the materials in an installment that do not fully comply constitutes a breach of Contract. On delivery of,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
24,"nonconforming materials, the District may terminate the Contract for default under applicable termination clauses in",0.0,"nonconforming materials, the District may terminate the Contract for default under applicable termination clauses in",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,"the Contract, exercise any of its remedies under the Uniform Commercial Code, or pursue any other right or remedy",0.0,"the Contract, exercise any of its remedies under the Uniform Commercial Code, or pursue any other right or remedy",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,available to it.,0.0,available to it.,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
27,"e) The District shall be entitled to offset against any sums due the Contractor, any expenses or costs incurred by",0.0,"e) The District shall be entitled to offset against any sums due the Contractor, any expenses or costs incurred by",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
28,the District or damages assessed by the District concerning the Contractor’s nonconforming performance or failure to,0.0,the District or damages assessed by the District concerning the Contractor’s nonconforming performance or failure to,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
29,"perform the Contract, including expenses, costs and damages described in the Uniform General Terms and Conditions.",0.0,"perform the Contract, including expenses, costs and damages described in the Uniform General Terms and Conditions.",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
30,14 CONTRACT TERMINATION,0.0,14 CONTRACT TERMINATION,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
31,a) The District may cancel this Contract within three (3) years after Contract execution without penalty or further,0.0,a) The District may cancel this Contract within three (3) years after Contract execution without penalty or further,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
