line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"HOT LINE CLAMP, BRONZE, 8SOL - 2/0 STR CU * CITY STOCK # 858 001 00024 * HOT LINE CLAMP, BRONZE ALLOY, #8 SOLID - 2/0 STRANDED COPPER MAIN, #8 SOLID - 2/0 STRANDED COPPER TAP. * ANDERSON ELECTRIC #BC2",50.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"BRACKET, FG CUTOUT/ARR, 3PH, 48""L * CITY STOCK # 859 001 01148 * CUTOUT/ARRESTER BRACKET, 3 PHASE, 1 1/2"" DIA. FIBERGLASS ROD, 48"" LENGTH, WITH CAPTIVE CARRIAGE BOLTS. * MACLEAN POWER SYSTEMS #G3MA024",10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"CLAMP, AL SERVICE WEDGE, 1/0 - 4 WIRE RANGE * CITY STOCK # 859 001 01210 * ALUMINUM SERVICE WEDGE CLAMPS, 1/0 - 4 ACSR, AAAC, & 2/0 STR - 2 SOL ALUM WIRE RANGE. * BLACKBURN # W20-1 NO SUBSTITUTIONS. *",50.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"GROUND ROD, 5/8"" X 10 FT,THREADED SECTIONAL COPPER * CITY STOCK # 859 001 01605 * GROUND ROD, 5/8""X 10 FT ROD SIZE, COPPER BONDED, THREADED AND SECTIONAL * ERITECH #635800, GALVN #6260S, OR APPROVED E",50.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,"NON-FUSED KIT, Y-TYPE, #12-2 * CITY STOCK # 860 006 03098 * NON-FUSED KIT, Y-TYPE, RUN WIRE SIZE = 14-4 CU, 14-2 AL. TAP WIRE SIZE = 12-4 CU/AL. INSULATED WITH ""FLOOD-SEAL"" EPDM RUBBER HOUSING. * HOMA",10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"FUSE KIT, IN-LINE, #2-#14 SOL * CITY STOCK # 860 006 03099 * IN-LINE FUSED KITS, SINGLE FUSE, 600 V., #2-#14 WIRE SIZE (BOTH CU & AL). INSULATED WITH ""FLOOD-SEAL"" EPDM RUBBER HOUSING. * HOMAC # SLK 22",25.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"2"" DIA FLEXIBLE HDPE PIPE(RED) * CITY STOCK # 863 001 02162 * 2"" INTERNALLY RIBBED SOLID WALL HIGH DENSITY POLYETHYLENE CONDUIT ON A NON- RETURNABLE REEL. RED IN COLOR. SEQUENTIALLY MARKED EVERY FIVE ",2500.0,FT,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,"ENC, URD, HDPE, 19X23X12 ST LT (SMALL) * CITY INVENTORY # 863 002 02210 * ENCLOSURE, COVER AND BOX ASSEMBLY, HDPE, WITH ONE STAINLESS STEEL PENTAHEAD BOLT, 12"" HEIGHT, 19"" WIDTH, 23.5"" LENGTH, GREEN. ",20.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"ENC, PED, F/G, 3 PHASE COMPLETE UNIT 1-PIECE * CITY STOCK #863 002 03320 * ENCLOSURE, 3 PHASE, FIBERGLASS, WITHOUT JUNCTIONS, ADJUSTABLE PARKING STANDS PER CITY OF AMES SPEC FG-3PH PRI ENC. * HUBBELL ",2.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,"PAD, TRANSFORMER, FG, 37X43""X32"", 20""X 20"" OPENING * CITY STOCK # 863 002 05700 * FIBERGLASS PAD, FOR SINGLE PHASE TRANSFORMER, GREEN, 20"" X 20"" OPENING, 37"" X 43"" TOP X 32"" HIGH. MUST INCLUDE ATTACHE",10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,"FUSE 150E, FOR P/M S/GEAR * CITY STOCK # 863 004 02366 * S&C SM4 150E REFILL FUSE, 14.4 KV, TCC 153-4 S&C CATALOG #122250R4 *",6.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,"ELBOW, L/B, 4/0, 200 AMP,15KV, .830""- 1.060"" RANGE * CITY STOCK # 863 006 02284 * LOADBREAK ELBOW CONNECTOR, WITH TEST POINT, 200 AMP, 15 KV, .830""-1.060"" INSULATION DIAMETER RANGE, JACKET SEAL, FOR 4",15.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
