line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Roof Replacement,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,Gutter and Downspout Replacement,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,Replace windows per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,Replace front attic window per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Replace front entry door per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Replace storm doors per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Repair front porch floorboard per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Lead abatement per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,Remove siding per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Lead abatement per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Install siding per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,Complete minor repairs per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,Remove and replace existing metal soffit/fascia per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,Remove any decorative trim and molding and install straight boards per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,Lead abatement per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,Repair collapsed interior area of brick foundation per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,Remove all basement windows per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,Repair and reattach stone veneer per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,Infill cracks between the front porch and the home per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,Remove and replace front stairs per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,Pour a new concrete stoop and stairs per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,Provide new metal pipe handrails per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,Infill window wells per the specifications of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
24,Remove and replace deteriorated driveway of this Request for Bids.,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,Electrical Updates,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,Landscape Services,1.0,Flat Rate,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
