line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Supports periodic/recurring billing with user-selected cycles and start/end dates,0.0,Supports periodic/recurring billing with user-selected cycles and start/end dates,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"Distributes a single billing item across multiple COA elements based on user-defined allocations (e.g., % split)",0.0,"Distributes a single billing item across multiple COA elements based on user-defined allocations (e.g., % split)",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,Tracks interest/fees per state statute/county schedule including compounding (daily/monthly),0.0,Tracks interest/fees per state statute/county schedule including compounding (daily/monthly),,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"Bill by department on behalf of other County departments, which consolidate and reconcile billing information from several sources and provides one consolidated bill",0.0,"Bill by department on behalf of other County departments, which consolidate and reconcile billing information from several sources and provides one consolidated bill",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Create billing document templates,0.0,Create billing document templates,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"Change account coding on billing documents through a mass change functionality, with audit trail and proper security",0.0,"Change account coding on billing documents through a mass change functionality, with audit trail and proper security",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Create unique sequence number generated by the system for billing documents,0.0,Create unique sequence number generated by the system for billing documents,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Processes uncollectible accounts:,0.0,Processes uncollectible accounts:,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,-Customizable dunning letters,0.0,-Customizable dunning letters,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,-Export to collections/legal,0.0,-Export to collections/legal,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,-Bad-debt write-offs with approvals,0.0,-Bad-debt write-offs with approvals,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,-Reverses upon collection,0.0,-Reverses upon collection,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,"Provides AR reporting, but not limited to:",0.0,"Provides AR reporting, but not limited to:",,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,-Aging analysis with user-defined buckets,0.0,-Aging analysis with user-defined buckets,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,-Statements,0.0,-Statements,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,-Billed/paid/voided lists,0.0,-Billed/paid/voided lists,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,-Outstanding by COA,0.0,-Outstanding by COA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,-Customer activity by date/type,0.0,-Customer activity by date/type,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
